id,name,description,image,location,stage,industry,subindustry,website
138,Pixxel,Pixxel is a Bengaluru-based space technology startup building a constellation of advanced earth imaging small satellites.,https://res.cloudinary.com/crunchbase-production/image/upload/qwzxodcxbelputxndnwr,"Bangalore, India",No information,Transportation,Aerospace,https://pixxel.space
139,CustomFit.ai,CustomFit.ai transforms your website/app into #1 Growth Engine / #1 Salesperson by personalizing for each visitor.,https://res.cloudinary.com/crunchbase-production/image/upload/kkqp3wjxnmlp1skzhbj2,"Bangalore, India",No information,Software and Data,Artificial Intelligence,https://customfit.ai
140,"Lens and Meds (https:lensandmeds.com),","Healthcare, Eyecare, Digital Drug Distribution and Branded Generics",https://res.cloudinary.com/crunchbase-production/image/upload/s7wmk06ieo9znqg5qekl,"Bangalore, India",No information,Health,Health Care,http://www.lensandmeds.com
141,Hearthealth Technologies,An AI-driven Cardiac Imaging Analyses based Cardiovascular Decision Support System to streamline clinical workflows,https://res.cloudinary.com/crunchbase-production/image/upload/c8p9e9pfvsbwo5wl0mju,"Bangalore, India",No information,Hardware & IoT,Hardware,http://hearthealthtech.com/
142,Karbon Card,Karbon Card  is a financial platform for Indian entrepreneurs.,https://res.cloudinary.com/crunchbase-production/image/upload/vzcod9o199jm1k9wdvgh,"Bangalore, India",No information,Fintech,Financial Services,https://www.karboncard.com/
143,OlaMoney,OlaMoney which provides mobile payments.,https://res.cloudinary.com/crunchbase-production/image/upload/fbrg0sxzewucqn6jhlbt,"Bangalore, India",No information,Software and Data,Apps,https://www.olamoney.com/
144,EvrCare,Taking Care of your parents when you move away. 1st Time in Asia | Launched in India,https://res.cloudinary.com/crunchbase-production/image/upload/gxbpd5q9rarhh9l2utl1,"Bangalore, India",No information,Health,Health Care,https://evrcare.co/
145,LexHeal Technologies,LexHeal Technologies develops a family healthcare app where users can monitor their health as well as the health of their families.,https://res.cloudinary.com/crunchbase-production/image/upload/gkkwduzq645bhus227fd,"Bangalore, India",No information,Health,Health Care,https://lexheal.com/
146,Aviate,Aviate is an employability-enhancement and placement services platform for job-seekers.,https://res.cloudinary.com/crunchbase-production/image/upload/ksftvmyu74rc529lnd0f,"Bangalore, India",No information,Education,Education-Other,http://aviate.jobs
147,Unbox Robotics,"Unbox Robotics builds on-demand AI-driven warehouse robotics solutions, which can be deployed using limited foot-print, time, and capital.",https://res.cloudinary.com/crunchbase-production/image/upload/cw6iufptdskqg1phd2my,"Bangalore, India",No information,Software and Data,Artificial Intelligence,https://unboxrobotics.com/
148,Ripplr,Ripplr is a full stack tech distribution company.,https://res.cloudinary.com/crunchbase-production/image/upload/tydvcni2gvddzo5au1mz,"Bangalore, India",No information,Transportation,Logistics,http://www.ripplr.in/
149,BeaTrust,"BeaTrust helps each employee to connect easily, accelerating collaboration and driving innovation.",https://res.cloudinary.com/crunchbase-production/image/upload/csjsio80bcy8ujtg27i5,"Tokyo, Japan",No information,Social & Leisure,Communities,https://beatrust.com/en/
150,ScientistPage Inc.,Scientific community is facing the exponential growth in academic literature.,https://res.cloudinary.com/crunchbase-production/image/upload/egr5fktwflubfogqlbso,"Tokyo, Japan",No information,Fintech,Blockchain,https://scientistpage.com
151,SOUNDRAW,SOUNDRAW is an AI music generator for video creators.,https://res.cloudinary.com/crunchbase-production/image/upload/zd5nsevccbwbbvfbezog,"Tokyo, Japan",No information,Software and Data,Artificial Intelligence,https://soundraw.io/
152,Turingum,Turingum is a group of engineers who have contributed to crypto and blockchain through research and development for many years.,https://res.cloudinary.com/crunchbase-production/image/upload/wialewwwet9qilgynyh8,"Tokyo, Japan",No information,Fintech,Blockchain,https://turingum.com
153,LocationMind,"LocationMind is an IT company that provides human flow analysis, IoT solutions, and security for positioning signals.",https://res.cloudinary.com/crunchbase-production/image/upload/04a355064bb873cf70e2,"Tokyo, Japan",No information,Software and Data,Enterprise Technology,https://locationmind.com/
154,Milamore,Milamore is a manufacturer and designer of jewelry.,https://res.cloudinary.com/crunchbase-production/image/upload/xptqpknrlzrrdczzqplu,"Tokyo, Japan",No information,Ecommerce & Retail,Ecommerce & Retail-Other,https://milamorejewelry.com/
155,Ieichiba,Ieichiba is a real estate company.,https://res.cloudinary.com/crunchbase-production/image/upload/wplm7wcq9rondlevf1js,"Tokyo, Japan",No information,Hardware & IoT,Hardware & IoT-Other,https://www.ieichiba.com/
156,ToposWare,"ToposWare provides blockchain, cryptography, and software services.",https://res.cloudinary.com/crunchbase-production/image/upload/adc3e5e21f2b8ca3ede5,"Tokyo, Japan",No information,Fintech,Blockchain,https://toposware.com/
157,susten Capital Management,Susten Capital Management develops internet asset management services.,https://res.cloudinary.com/crunchbase-production/image/upload/5b9c25f43691c4cc369c,"Tokyo, Japan",No information,Fintech,Financial Services,https://www.susten.jp
158,CUICIN,Quickin is changing the travel experience with the digital transformation.,https://res.cloudinary.com/crunchbase-production/image/upload/dc75bc34581f9f9b59fa,"Tokyo, Japan",No information,Social & Leisure,Travel,https://cuicin.co.jp
159,Fools,Fools is a footwear manufacturing company.,https://res.cloudinary.com/crunchbase-production/image/upload/o8ndwfkkfw9xoekcehky,"Tokyo, Japan",No information,Ecommerce & Retail,Ecommerce & Retail-Other,https://www.fools-inc.com/
160,Edgematrix,EDGEMATRIX is a startup spun out from the AI ​​project team of a global venture company .,https://res.cloudinary.com/crunchbase-production/image/upload/thubgl8tmdvhaxcs3bpl,"Tokyo, Japan",No information,Software and Data,Artificial Intelligence,https://edgematrix.com/
161,Siiibo,Siiibo is a Startup to collect a small number of investors and issue bond based on its own web information platform.,https://res.cloudinary.com/crunchbase-production/image/upload/dplhquiwdfag4zlffdbm,"Tokyo, Japan",No information,Fintech,Financial Services,https://www.siiibo.com/
162,Crezit,"Crezit is offers a wide range of financial products and services in a single click, as well as customer advice, product simulators.",https://res.cloudinary.com/crunchbase-production/image/upload/cvdp1yzh54oeufzc1qlv,"Tokyo, Japan",No information,Fintech,Financial Services,https://crezit.jp/
163,HCMJ,HCMJ specializes in software development in the medical industry.,https://res.cloudinary.com/crunchbase-production/image/upload/08f837c58ed8face28c8,"Tokyo, Japan",No information,Software and Data,Enterprise Technology,https://www.hcmj.co.jp
164,Digzyme,"Digzyme is a research and development platform for creating, discovering, and evaluating new enzyme-catalyzed reactions by bioinformatics.",https://res.cloudinary.com/crunchbase-production/image/upload/mdjwopmbmyqgeueu4ojj,"Tokyo, Japan",No information,Health,Health-Other,https://www.digzyme.com/
165,Zaiko,Two way marketplace connecting event organizers with media companies as sales channels. Ticketing as a service.,https://res.cloudinary.com/crunchbase-production/image/upload/rvalvqkrlvtmb5fq0jae,"Tokyo, Japan",No information,Ecommerce & Retail,Ecommerce,https://zaiko.io
166,Feelyou (Bajji Inc.),"Mood tracking app called Feelyou, sharing your daily mood for boosting well-being",https://res.cloudinary.com/crunchbase-production/image/upload/wogge18xkchtvyf7re0t,"Tokyo, Japan",No information,Fintech,Blockchain,https://feelyou.app/
167,Radiotalk,Radiotalk is a Voice distribution platform business.,https://res.cloudinary.com/crunchbase-production/image/upload/4477a84b8d890ef62781,"Tokyo, Japan",No information,Marketing & Sales,Content Marketing,https://radiotalk.jp/
168,Boulder,Boulder is a human resource copmany.,https://res.cloudinary.com/crunchbase-production/image/upload/fombeta8xqshrbgmm97y,"Tokyo, Japan",No information,Software and Data,Enterprise Technology,https://b-boulder.com/
169,SkyDrive,"SkyDrive is a start-up for development,manufacturing,sales of the &ldquo;Flying cars&rdquo; established by CARTIVATOR members.",https://res.cloudinary.com/crunchbase-production/image/upload/e4zozozxcqtujefjtxbd,"Tokyo, Japan",No information,Transportation,Automotive,https://en.skydrive2020.com/
170,bitBiome,BitBiome is a microbiome analysis company that aims to discover and understand disease-linked microorganisms.,https://res.cloudinary.com/crunchbase-production/image/upload/n8vbp5keflkf90tyrkuw,"Tokyo, Japan",No information,Software and Data,Data Analytics,https://www.bitbiome.co.jp
171,TRiCERA,TRiCERA is a contemporary art global platform management company.,https://res.cloudinary.com/crunchbase-production/image/upload/ca0f7ce5ed7bf55a8cf6,"Tokyo, Japan",No information,Social & Leisure,Arts,https://tricera.co.jp/
172,Arteryex,Arteryex is a healthcare blockchain startup in Japan.,https://res.cloudinary.com/crunchbase-production/image/upload/1e9f3e414cd7e0d1a10a,"Tokyo, Japan",No information,Fintech,Blockchain,https://arteryex.biz
173,Penmark,Penmark is a schedule management application for college students.,https://res.cloudinary.com/crunchbase-production/image/upload/aea75ccfa16fd7840281,"Tokyo, Japan",No information,Software and Data,Apps,https://penmark.jp/
174,Oico,Oico develops an online marketplace designed for small retailers and buyers of building materials.,https://res.cloudinary.com/crunchbase-production/image/upload/rewc2ldlnidnxh64a0f4,"Sao Paulo, Brazil",No information,Ecommerce & Retail,Marketplaces,http://www.oico.com.br
176,Boomerang,"Boomerang is a new way for photographers to share their images with clients. An ultra clean interface, inspiring animations and easy use functionality get users emotionally engaged and help photographers proof simple and sell more.",https://res.cloudinary.com/sblink/w_64/69850ef11422ddf5363ebae582e2a189,"Seattle, United States",Just launched,Software and Data,Apps,http://www.boomerangproof.com
178,TissueLabs,The platform for creating organs and tissues in the lab.,https://res.cloudinary.com/crunchbase-production/image/upload/ehsjzdtb62ta0ywbt3ec,"Sao Paulo, Brazil",No information,Hardware & IoT,3D Printing,http://www.tissuelabs.com
181,Kzas.AI,Kzas is a platform that matches real buyers with real properties with assistance of conversational AI simplifying from the search to notary.,https://res.cloudinary.com/crunchbase-production/image/upload/buwclsrskch6ahgujthf,"Sao Paulo, Brazil",No information,Software and Data,Artificial Intelligence,https://www.kzas.ai
182,Hello Fan,Hello Fan provides a platform for famous folks to pay tribute to their devoted followers.,https://res.cloudinary.com/crunchbase-production/image/upload/ov57obokefwuzrvoqpcb,"Sao Paulo, Brazil",No information,Social & Leisure,Digital Media,https://hello.fan/
186,Tudu,A disruptive way to sell clothes and other consumer objects 100% manufactured on demand,https://res.cloudinary.com/crunchbase-production/image/upload/wzehd1p5shcuj8o90ju1,"Sao Paulo, Brazil",No information,Ecommerce & Retail,Ecommerce,https://www.tudu.com.br
187,OTAWA Health,"Guiding cancer care through a centralized multidisciplinary EHR with predefined clinical pathways, treatment protocols and molecular markers",https://res.cloudinary.com/crunchbase-production/image/upload/v1480577378/yqz2zzilhpr5zukgnjcb.png,"Sao Paulo, Brazil",No information,Software and Data,Artificial Intelligence,http://www.otawa.net/
188,&Acirc;nimo Wellness,Brazilian Digital Wellness Platform,https://res.cloudinary.com/crunchbase-production/image/upload/rpqifuuwnqaqsemkc2yn,"Sao Paulo, Brazil",No information,Health,Fitness,http://queroanimo.com/
189,Carupi,"Managed marketplace for used cars, similar to Airbnb.",https://res.cloudinary.com/crunchbase-production/image/upload/dfqq25yzq7iguovdgu24,"Sao Paulo, Brazil",No information,Ecommerce & Retail,Marketplaces,https://www.carupi.com/
190,Mimic,Mimic will reinvent the food delivery industry in LATAM.,https://res.cloudinary.com/crunchbase-production/image/upload/weic9jge9o3ttp6qrmtz,"Sao Paulo, Brazil",No information,Transportation,Logistics,http://www.mimic.com.br/
191,Pipo Sa&uacute;de,We are a platform that sells and manages healthcare benefits (from your healthcare plan to your fitness benefit).,https://res.cloudinary.com/crunchbase-production/image/upload/sjzo5ad9hiciw6tg68ij,"Sao Paulo, Brazil",No information,Health,Health Care,http://piposaude.com.br
194,alice.,,https://res.cloudinary.com/sblink/w_64/8d27ef596ad3ff650176f67ef9c33f31,"London, United Kingdom",Just launched,Fintech,Financial Services,http://alice.li
195,Clarke Energia,Clarke Energia is a digital energy manager that reduces your electricity bill,https://res.cloudinary.com/crunchbase-production/image/upload/w1xr8fmk2j82gc4bn3o7,"Sao Paulo, Brazil",No information,Energy & Environment,Energy,https://clarke.com.br/
197,Theia,"Theia is a young Brazilian startup with a mission to empower parents to be healthier, happier and more successful at home and at work",https://res.cloudinary.com/crunchbase-production/image/upload/k9h0v5xlt9fs0ajir6j8,"Sao Paulo, Brazil",No information,Health,Health Care,https://theia.com.br/
198,Unbox,Unbox is a data driven online sales solution designed brand-focused SMEs to increase sales,https://res.cloudinary.com/crunchbase-production/image/upload/k14rdvm0k7s9yw3l7crf,"Sao Paulo, Brazil",No information,Ecommerce & Retail,Ecommerce,http://unbox.com.br
201,Graphue,"Graphue is a company that provides templates for exceling your pitches and presentations. Its a group of expert designers, with a goal to help its customers.",https://res.cloudinary.com/sblink/w_64/grtvi9k5or4yrgntmtwu,"Amsterdam, The Netherlands",Idea/MVP/Beta,Marketing & Sales,Digital Marketing,https://graphue.com/
203,Be-Addy,"SaaS platform for smartly organise your paid media and create mediaplanning to manage, optimize and report efficiently.",https://res.cloudinary.com/crunchbase-production/image/upload/lond5dqhgstkrarrcunw,"Amsterdam, The Netherlands",No information,Marketing & Sales,Adtech,https://www.be-addy.com
204,Beacon,"Beacon is a digital therapy platform that helps people overcome mental health concerns such as depression, anxiety, panic, and PTSD.",/template/v3/images/no_logo.png,"Toronto, Canada",No information,Health,Health Care,https://www.mindbeacon.com/
205,Froyoo,"Cross device marketing graph that enables tailored advertising, created for Middle East and Africa",https://res.cloudinary.com/crunchbase-production/image/upload/kvddb5hzgwihxc9ecrk4,"Amsterdam, The Netherlands",No information,Marketing & Sales,Adtech,https://froyoo.com
206,Atium,Atium is the platform where teams build and maintain human connections remotely.,https://res.cloudinary.com/crunchbase-production/image/upload/kptaqfdmo4f8zn7o3iln,"Amsterdam, The Netherlands",No information,Software and Data,Software,https://atium.app
207,Orderchamp,"Wholesale, Marketplace,  Ecommerce, Retail",https://res.cloudinary.com/crunchbase-production/image/upload/q8wzjqtnywkehxwzn49l,"Amsterdam, The Netherlands",No information,Ecommerce & Retail,Ecommerce,https://www.orderchamp.com
210,Clear,Clear measures blood glucose levels in real-time using a chip-implanted arm patch and an app.,https://res.cloudinary.com/crunchbase-production/image/upload/g21e5qkkkgudqd7n3dqb,"Amsterdam, The Netherlands",No information,Health,Fitness,https://www.theclearhealthprogram.com/
211,PoroUS,PoroUS combines 3D ultrasound technology and image guidance with sophisticated spectral signal processing to ensure osteoporosis diagnoses.,https://res.cloudinary.com/crunchbase-production/image/upload/af4imfmj9rtncphq55md,"Amsterdam, The Netherlands",No information,Health,Health Care,https://nlc.health/venture/porous/
213,Fusedbone,Affordable and accessible patient-specific implants.,https://res.cloudinary.com/crunchbase-production/image/upload/thyflzrrhcyatkhckdes,"Amsterdam, The Netherlands",No information,Hardware & IoT,3D Printing,http://fusedbone.com/
214,Toot,TOOT is a subscription-based E-commerce platform for oral care products.,https://res.cloudinary.com/crunchbase-production/image/upload/fmy9jw2aciuebxhi5pnj,"Amsterdam, The Netherlands",No information,Hardware & IoT,Consumer Electronics,https://toot.nl/
216,Kambr,"Raising airline revenue performance through Software, Consultancy and Content.",https://res.cloudinary.com/crunchbase-production/image/upload/s0iwyolh0hdrflxmk3xo,"Amsterdam, The Netherlands",No information,Transportation,Aerospace,https://www.kambr.com/
217,Bookex,"Better management for long-stay travel. Built for travel managers, travellers and suppliers.",https://res.cloudinary.com/crunchbase-production/image/upload/xa5giohqzzgvwpfqeyf0,"Amsterdam, The Netherlands",No information,Social & Leisure,Travel,https://www.bookex.io/en/
219,Purple Gaze,High Performance Eye Tracking,https://res.cloudinary.com/crunchbase-production/image/upload/xj3nzm1aopb7zqysu4th,"Amsterdam, The Netherlands",No information,Hardware & IoT,Hardware,http://www.purplegaze.io
220,NC Biomatrix,Game-changing treatment for intervertebral disc (IVD) degeneration,https://res.cloudinary.com/crunchbase-production/image/upload/avxrr0jp0ywtsqq0yciy,"Amsterdam, The Netherlands",No information,Health,Health Care,https://ncbiomatrix.com/
222,Hemeo,"HEMEO IS A PERSONALIZED CLINICAL DECISION SUPPORT SYSTEM DESIGNED TO PREVENT, DIAGNOSE, AND TREAT COAGULATION DISORDERS",https://res.cloudinary.com/crunchbase-production/image/upload/wyiheaktu9y573evcvzp,"Amsterdam, The Netherlands",No information,Health,Health Care,https://nlc.health/venture/hemeo/
223,Silverflow,Silverflow is a cloud-based processing platform that provides an upgrade for payment-providers to accelerate technological innovation.,https://res.cloudinary.com/crunchbase-production/image/upload/ncgaqkycohsbwo2x1pj4,"Amsterdam, The Netherlands",No information,Fintech,Financial Services,https://www.silverflow.co/
224,Together Video Chat,Together Video Chat is a video chat app designed for children-grandparent interaction and offers playful and educational activities.,https://res.cloudinary.com/crunchbase-production/image/upload/tsgsemzbxcsvhh3icli7,"Barcelona, Spain",No information,Software and Data,Apps,https://www.togethervideoapp.com/
225,Accure Therapeutics,Accure Therapeutics is a private pharma R&amp;D engine at clinical stage in the CNS field.,https://res.cloudinary.com/crunchbase-production/image/upload/lx5pg546oj9zk1g14ise,"Barcelona, Spain",No information,Health,Biotechnology,https://accure.health/
226,Squadra,"Squadra is the first virtual coaching app for teams, carving out a new space in the workplace productivity stack",https://res.cloudinary.com/crunchbase-production/image/upload/bb9lwyyicgz2tpg4wamr,"Barcelona, Spain",No information,Software and Data,Apps,https://mysquadra.com/
227,Freeverse.io,Blockchain technology and products that power new global markets for evolutionary digital assets,https://res.cloudinary.com/crunchbase-production/image/upload/k1cypkz7glebxik0ysdh,"Barcelona, Spain",No information,Fintech,Blockchain,https://www.freeverse.io/
229,PIGARI,Corporate debit cards for SME and Freelancers to automate expense management and remove paper expense receipts.,https://res.cloudinary.com/crunchbase-production/image/upload/l9m8nk97axcyvpl2dq1g,"Barcelona, Spain",No information,Fintech,Online Banking,https://pigari.com/
231,TipsterChat,TipsterChat is an online marketplace which provides on-demand sports gaming content.,https://res.cloudinary.com/crunchbase-production/image/upload/py9kspgabkkoumphscoj,"Barcelona, Spain",No information,Software and Data,Enterprise Technology,https://www.tipsterchat.com/
232,Freightol,"Freightol is a 4.0 transport SaaS, in which thousands of Forwarders and Freight Forwarders are added.",https://res.cloudinary.com/crunchbase-production/image/upload/j1pojueldx7yw1wf4dqz,"Barcelona, Spain",No information,Transportation,Logistics,https://www.freightol.com
233,Advancing,Fintech solution offering landlords the chance to receive 12 months of their rents in advance while protecting them against default payments,https://res.cloudinary.com/crunchbase-production/image/upload/eesk5mfaqhn6e3zjlo3d,"Barcelona, Spain",No information,Fintech,Financial Services,https://www.advancing.es/
234,Talvi,"Talvi is an automated financial advisor offering financial planning, investment management and financial education all on a mobile app.",https://res.cloudinary.com/crunchbase-production/image/upload/a7yzvkxawsxcndrnxkxs,"Barcelona, Spain",No information,Fintech,Online Banking,https://plan.talvi.app
235,HUBUC,Banking as a Platform that enables businesses to embed financial services in their products and services.,https://res.cloudinary.com/crunchbase-production/image/upload/ukx0zsfh8n1e3ywwcd51,"Barcelona, Spain",No information,Fintech,Online Banking,https://www.hubuc.com
236,Finnu,Finnu is a Fintech startup giving its users access to affordable asset-backed consumer loans via its mobile app.,https://res.cloudinary.com/crunchbase-production/image/upload/um8ri60lp7uwxkysrm1h,"Barcelona, Spain",No information,Fintech,Financial Services,https://www.finnu.com
237,Mutter Ventures,"Mutter Ventures is a pre-corporate venture builder in Spain, especialized in the startup and development of companies in the digital economy",https://res.cloudinary.com/crunchbase-production/image/upload/uyuxplz6haebzsm4d0qh,"Barcelona, Spain",No information,Fintech,Investment,https://mutter.me/
238,ContHub.io Inbound Marketing,Simple and powerful inbound marketing cloud platform for SMEs,https://res.cloudinary.com/crunchbase-production/image/upload/h8knwyvl2hyckbf58qg3,"Barcelona, Spain",No information,Marketing & Sales,Content Marketing,https://conthub.io
239,kraving kitchens,kraving kitchens is a food delivery platform.,https://res.cloudinary.com/crunchbase-production/image/upload/l0nlt8aygsko4pal1zwo,"Barcelona, Spain",No information,Foodtech,Food and Beverage,https://kravingkitchens.com/
240,Nuclio Digital School,"Nuclio Digital School is the business school of Nuclio Venture Builder, the startup incubator driven from Barcelona by Carlos Blanco.",https://res.cloudinary.com/crunchbase-production/image/upload/pocd4sbclaorxympz6vc,"Barcelona, Spain",No information,Software and Data,Data Analytics,https://nuclio.school/
241,Brainity,Automatic Facebook &amp; Instagram Customer Journey ads for E-commerce,https://res.cloudinary.com/crunchbase-production/image/upload/ihutqiamn5bauywgtytv,"Barcelona, Spain",No information,Marketing & Sales,Adtech,https://www.brainity.co/
243,RheoDx,A precise and portable in-vitro device that brings efficiency to the hematological diseases diagnostics with a single blood drop.,https://res.cloudinary.com/crunchbase-production/image/upload/j7rcvjmithv3195fiqrb,"Barcelona, Spain",No information,Health,Biotechnology,http://www.rheodx.com
245,MediQuo,"Spain&rsquo;s 24-hour, 7-day-a-week medical chat application.",https://res.cloudinary.com/crunchbase-production/image/upload/tkyu62duhxfofxfe8b9d,"Barcelona, Spain",No information,Software and Data,Apps,https://www.mediquo.com/
247,ABLE Human Motion,ABLE Human Motion is a medical device company developing and commercialize robotic exoskeletons.,https://res.cloudinary.com/crunchbase-production/image/upload/akgw4dh6riwoodtcgtjd,"Barcelona, Spain",No information,Health,Health Care,https://www.ablehumanmotion.com
248,Groots,Vertical farming startup developing tower based growing technology.,https://res.cloudinary.com/crunchbase-production/image/upload/yjzjwfqdgitmygmjoelp,"Barcelona, Spain",No information,Foodtech,Agtech,http://www.groots.eco/
249,VReel,"VReel is a Swedish independent stock platform offering high quality, affordable video footage from all over the world via one-off purchases and subscriptions.",https://res.cloudinary.com/sblink/w_64/vx8alvadm3obf05i3fhp,"Stockholm, Sweden",Idea/MVP/Beta,Marketing & Sales,Content Marketing,https://vreel.co
250,Krafthem,Developing knowledge and AI to efficiently deploy electricity flexibility,https://res.cloudinary.com/crunchbase-production/image/upload/oucwo0xwfc9zas36vpxy,"Stockholm, Sweden",No information,Energy & Environment,Energy,https://www.krafthem.se/
251,Off Script,"Off Script is the best way for creators to set up their very own e-commerce, sell products they love, and help their community.",https://res.cloudinary.com/crunchbase-production/image/upload/fipcxy26wjhpmxoijf1u,"Stockholm, Sweden",No information,Ecommerce & Retail,Ecommerce,https://offscript.io/
252,NAG Studios,NAG Studios is an Esports startup that integrates the community into the teams through streaming platforms built for all types of users.,https://res.cloudinary.com/crunchbase-production/image/upload/yrmkzs4es0kplubrhlbq,"Stockholm, Sweden",No information,Social & Leisure,Sports,http://www.nagstudios.com
253,Nhost,Nhost is a full-fledged serverless backend for web and mobile applications.,https://res.cloudinary.com/crunchbase-production/image/upload/omufvlapkt2t7jsr1qlk,"Stockholm, Sweden",No information,Software and Data,Software,https://nhost.io
254,Wild Games,Wild Games is an independent mobile games developer based in Stockholm founded by industry veterans,https://res.cloudinary.com/crunchbase-production/image/upload/vxh722zkip0sp7lrbtmo,"Stockholm, Sweden",No information,Software and Data,Apps,https://www.wild-games.se/
256,Lunch.co,A marketplace platform where colleagues can buy and sell home cooked lunches at work,https://res.cloudinary.com/crunchbase-production/image/upload/hhnjasqzhbyrjnggpg87,"Stockholm, Sweden",No information,Ecommerce & Retail,Ecommerce,http://lunch.co
257,Starprise,Marketplace for personalised videos from your favorite celebrities,https://res.cloudinary.com/crunchbase-production/image/upload/zfnro60iwmxlxw4ty0my,"Stockholm, Sweden",No information,Social & Leisure,Digital Media,https://starprise.co/
258,Noquo Foods,Noquo Foods is created to reinvent the vegan foods using today&rsquo;s technologies and science.,https://res.cloudinary.com/crunchbase-production/image/upload/fpxtbkulrg6jdamvcqxp,"Stockholm, Sweden",No information,Foodtech,Food and Beverage,http://noquofoods.com/
259,Coupleness,Coupleness is a startup operating a mobile social network for couples.,https://res.cloudinary.com/crunchbase-production/image/upload/ur2yizgk7a34pqxuaizu,"Stockholm, Sweden",No information,Software and Data,Apps,https://www.getcoupleness.com/
260,Memmo,Memmo is a platform that offers personal video messages from famous profiles to their fans and followers.,https://res.cloudinary.com/crunchbase-production/image/upload/poirhkejzsft8ynvlms1,"Stockholm, Sweden",No information,Social & Leisure,Entertainment,https://memmo.me
261,Hackyourcloset.com,Hackyourcloset.com was founded in 2019 to reduce and prevent waste in the apparel industry.,https://res.cloudinary.com/crunchbase-production/image/upload/xyjks40zzaphjidvqtne,"Stockholm, Sweden",No information,Software and Data,Data Analytics,https://www.hackyourcloset.com
262,Logcast,Logcast is a voice-based social network.,https://res.cloudinary.com/crunchbase-production/image/upload/padeuer5wxkoh3dy6hay,"Stockholm, Sweden",No information,Software and Data,Enterprise Technology,https://www.logcast.io
264,Skyqraft,Skyqraft provides autonomous aerial infrastructure inspection.,https://res.cloudinary.com/crunchbase-production/image/upload/xpf48w4wqeehph2oejoz,"Stockholm, Sweden",No information,Software and Data,Artificial Intelligence,http://skyqraft.com
265,xNomad,Xnomad is a marketplace for short-term retail space connecting brands and e-commerce stores.,https://res.cloudinary.com/crunchbase-production/image/upload/uuspjpdffipoylfufawq,"Stockholm, Sweden",No information,Ecommerce & Retail,Marketplaces,https://www.xnomad.co
267,Treyd,Working capital for fast growing D2C brands. Trade Finance made Simple,https://res.cloudinary.com/crunchbase-production/image/upload/dlgvrlfnr1y7hsrypd1w,"Stockholm, Sweden",No information,Fintech,Financial Services,https://www.treyd.io
269,Vembla,Vembla is a marketplace with a vast selection of groceries and everyday goods from local retailers delivered to customers within minutes.,https://res.cloudinary.com/crunchbase-production/image/upload/ug5bosav2t2rsxbasqfo,"Stockholm, Sweden",No information,Transportation,Logistics,https://www.vembla.se/
272,Acuminor,Acuminor is a regulatory technology company based in Stockholm.,https://res.cloudinary.com/crunchbase-production/image/upload/q1tmoxfurb27gsqnfhwn,"Stockholm, Sweden",No information,Fintech,Fintech-Other,https://www.acuminor.com/
273,Chromia,"Chromia is a platform that is both a blockchain and a relational database, built with both developers and end-users in mind.",https://res.cloudinary.com/crunchbase-production/image/upload/o24dk5iuz6unbhuddvzb,"Stockholm, Sweden",No information,Fintech,Blockchain,https://chromia.com/
275,Course Studio,Course Studio is a learning experience designed for the Internet.,https://res.cloudinary.com/crunchbase-production/image/upload/mzxndtazto2xy1npstr9,"Vancouver, Canada",No information,Education,Edtech,https://course.studio/
276,Sherwa Online Services,Mobile app to connect gamers using shared economy business model,https://res.cloudinary.com/crunchbase-production/image/upload/srs7fhvffnihpbknhsvl,"Vancouver, Canada",No information,Software and Data,Enterprise Technology,https://www.sherwaonline.com
278,Offerland,Technology Built for Real Estate Professionals,https://res.cloudinary.com/crunchbase-production/image/upload/ggygpy7nt2mp6iwmgdlm,"Vancouver, Canada",No information,Fintech,Investment,https://offerland.ca
279,Niki App Limited,Niki is the one-stop digital platform for renting properties for students.,https://res.cloudinary.com/crunchbase-production/image/upload/jmclvoqvcltyhgeopk0r,"Vancouver, Canada",No information,Ecommerce & Retail,Ecommerce,https://www.nikiapp.com
280,Juicey Turf,Juicey Turf is an AI door to door sales mapping application intended to maximize the reps profits of a veteran salesperson.,https://res.cloudinary.com/crunchbase-production/image/upload/icqtsvwoan5euionaub2,"Vancouver, Canada",No information,Software and Data,Artificial Intelligence,https://juiceyturf.com
282,SynerGenetics Bioscience,SynerGenetics Bioscience is a plant genetics research and development company that focuses on hemp strains.,https://res.cloudinary.com/crunchbase-production/image/upload/thzxm8fenqxchxuaw2qt,"Vancouver, Canada",No information,Health,Biotechnology,https://www.sgbioscience.com/
283,Charli AI,"Meet Charli, AI to make work flow. Delegate the boring stuff.",https://res.cloudinary.com/crunchbase-production/image/upload/ifmik5dgykbzuk4k0j7t,"Vancouver, Canada",No information,Software and Data,Artificial Intelligence,https://charli.ai/
285,Waterbear Cloud,"Waterbear Cloud is an IT company that generates infrastructure code from a flexible, high-level configuration system.",https://res.cloudinary.com/crunchbase-production/image/upload/uiupbljskyi2shrrfpva,"Vancouver, Canada",No information,Software and Data,Software,https://www.waterbear.cloud
286,NeuPeak Robotics,NeuPeak Robotics is an AI and robotics company that develops autonomous robots replacing dexterity intensive farm labor.,https://res.cloudinary.com/crunchbase-production/image/upload/dmk9nbcykwfs6vofsdru,"Vancouver, Canada",No information,Foodtech,Agtech,https://www.neupeak.com/
